player_name,team_name,pos,games_played,g,a,pts,pims,sog,gwg,ppp,shp,hits,blk
Matt Puempel,DET,LW,8,1,0,1,2,10,0,1,0,4,5
Erik Condra,COL,RW,6,1,0,1,2,10,0,0,0,3,1
Mark Barberio,COL,D,12,1,0,1,4,11,0,0,0,13,14
Matt Beleskey,NYR,LW,4,1,0,1,5,3,0,0,0,7,1
Matt Bartkowski,MIN,D,2,1,0,1,0,2,0,0,0,1,1
Tomas Plekanec,FA,C,3,1,0,1,0,8,0,0,0,1,1
Cody McLeod,FA,LW,38,1,0,1,67,22,0,0,0,112,10
Jason Garrison,FA,D,17,1,0,1,8,16,0,1,0,13,23
Evan Bouchard,EDM,D,7,1,0,1,2,10,0,1,0,6,8
Zachary Senyshyn,BOS,RW,2,1,0,1,0,4,0,0,0,1,0
Jeremy Lauzon,BOS,D,16,1,0,1,2,11,1,0,0,15,15
